chb;age;gender;chit_type
200000989372;38;female;нет данных
300001013885;20;female;нет данных
300000950569;62;female;нет данных
200000825980;41;male;нет данных
200001026882;31;male;echb
200001154927;23;male;нет данных
200000986230;21;female;нет данных
100000998308;38;female;нет данных
200001131427;63;male;нет данных
200001001108;27;male;нет данных
300001108609;22;female;нет данных
300000893684;26;female;normal
300001059058;25;female;echb
200000841445;44;female;echb
100000981739;41;male;echb
200000836820;39;female;нет данных
200000830613;48;male;normal
300000992381;33;female;normal
300000984428;44;male;нет данных
300001000772;24;male;нет данных
300001153040;52;female;нет данных
300001112554;20;male;нет данных
200000938383;37;male;нет данных
300001155092;36;female;нет данных
200000989100;43;female;нет данных
300001085659;21;female;нет данных
200001108337;27;female;нет данных
300000872863;22;female;нет данных
200001001160;28;male;нет данных
200000935696;21;female;нет данных
300001128807;43;male;нет данных
200001107358;22;male;нет данных
300001053127;33;male;echb
200000979176;66;female;нет данных
200001124711;30;female;нет данных
100000928423;40;female;нет данных
200000928873;43;male;нет данных
200001070207;22;male;echb
200000944783;56;male;нет данных
200001125987;27;female;нет данных
200001094715;31;male;normal
200000980131;67;male;нет данных
200000862978;53;female;normal
200000829825;34;male;normal
300000893200;30;female;нет данных
100001126849;55;female;нет данных
200001009090;19;female;нет данных
300001111505;23;female;нет данных
200001038274;34;male;нет данных
300001138007;37;female;нет данных
200001145475;34;female;нет данных
200001158629;62;female;нет данных
300001034429;25;female;нет данных
200000907340;22;female;нет данных
300001041016;29;male;нет данных
200001024390;28;female;нет данных
100001154584;49;male;нет данных
100001144530;34;female;нет данных
300000818452;30;female;нет данных
300000977810;23;female;нет данных
300000918710;22;female;нет данных
200001143196;28;female;normal
200000827634;40;female;normal
300000907376;66;female;нет данных
300000912614;27;female;нет данных
200001121486;42;male;нет данных
200000690740;34;female;нет данных
200001105623;22;male;нет данных
200001097758;60;male;нет данных
200001156158;54;female;нет данных
300001058932;27;male;echb
300001026250;27;male;normal
100000897072;59;male;нет данных
200001104404;20;female;нет данных
300000996405;23;female;echb
300001067118;25;male;нет данных
200001124715;46;female;нет данных
200001022821;23;female;echb
200000809991;30;female;нет данных
200001021556;32;female;echb
300001150662;18;male;нет данных
200001036115;21;male;normal
300001090678;20;female;нет данных
200000936974;26;female;нет данных
300001148200;41;female;нет данных
300001095043;22;male;normal
300001040746;36;male;нет данных
200001150672;23;female;нет данных
300000992545;45;female;normal
200000974781;19;female;нет данных
300001146031;35;female;нет данных
300000796151;28;female;echb
300001131775;49;female;нет данных
300000974066;47;male;нет данных
300001105113;33;female;нет данных
200001123301;23;female;нет данных
300001099441;29;female;normal
300001108548;21;female;нет данных
300000945598;31;female;нет данных
300001028204;31;male;нет данных
200000923054;23;male;нет данных
300001099899;24;male;нет данных
300001012316;21;female;нет данных
100001122762;41;male;нет данных
300001138222;24;male;нет данных
200001140454;25;female;нет данных
100001139071;50;female;нет данных
200001142787;23;female;нет данных
200001125152;30;female;echb
200000875923;26;male;нет данных
300000949953;34;female;echb
200001102988;42;female;нет данных
300001110215;25;female;нет данных
200001044061;24;female;echb
300000807978;61;не указан;нет данных
300001023680;27;male;нет данных
200000994954;75;male;нет данных
200000993473;25;female;normal
300001087013;44;male;нет данных
200001006739;45;female;normal
300000910695;27;female;нет данных
300001094556;31;female;нет данных
300001137649;23;female;нет данных
200001152644;34;male;нет данных
300000953110;26;female;нет данных
200001036783;24;male;нет данных
200000735328;52;female;нет данных
100000969665;47;female;нет данных
200001085008;26;female;нет данных
300001075639;63;male;нет данных
300000901333;62;female;нет данных
300001061475;22;female;нет данных
300000879999;35;male;нет данных
200001091160;33;male;нет данных
200001100525;44;male;нет данных
200000987642;30;female;нет данных
300000986973;26;female;нет данных
200001112357;54;female;нет данных
300001153581;22;female;нет данных
200000918711;24;female;нет данных
300001143085;19;female;нет данных
200001056744;29;male;нет данных
300000914213;41;male;normal
300001147217;50;male;нет данных
200000834937;29;female;нет данных
200000847816;23;female;нет данных
100001030241;59;female;normal
300001135927;23;male;нет данных
100001028850;56;female;нет данных
300001133708;32;female;нет данных
200001048965;29;male;normal
300001112406;42;male;нет данных
200000984655;26;male;нет данных
200001106411;21;male;нет данных
200001128031;41;male;нет данных
100001151441;43;female;нет данных
300000907895;22;female;normal
300000937818;26;female;echb
300001105819;26;male;нет данных
300001105169;23;female;нет данных
300001101402;37;female;нет данных
200001144590;21;male;нет данных
300000964510;22;female;нет данных
200000984668;20;female;нет данных
200000872413;49;female;нет данных
300001122487;69;female;нет данных
200001047187;46;male;нет данных
300001112147;20;female;нет данных
300001151022;23;male;нет данных
300001084708;49;female;нет данных
300001136461;24;female;нет данных
300000912605;63;female;нет данных
300001067360;26;male;нет данных
200000912512;22;female;нет данных
200000806544;27;male;normal
300001087096;27;female;нет данных
300000853564;39;male;echb
300001139958;23;female;нет данных
200001007313;20;female;normal
300001074978;26;male;echb
300001037817;23;female;нет данных
100001001345;39;female;echb
300001041273;21;female;нет данных
300001006738;43;male;нет данных
200001111547;22;male;нет данных
100000862553;37;male;нет данных
300001134112;40;female;нет данных
100001091925;32;male;нет данных
300001099380;27;male;нет данных
300001124811;30;male;нет данных
300001033743;57;female;нет данных
100000908416;37;female;нет данных
200001109449;46;female;нет данных
200000984689;39;female;нет данных
300001110730;25;male;нет данных
300001039349;20;female;normal
200001035058;38;female;нет данных
300001167677;55;male;нет данных
200001087471;21;female;нет данных
100001145544;36;female;нет данных
300000799860;26;male;нет данных
200001048910;61;female;нет данных
200000813073;27;female;normal
300001123849;22;female;нет данных
300000835363;22;male;нет данных
300001112526;24;female;нет данных
300001106627;25;female;нет данных
100001039336;31;male;echb
300000834474;23;male;нет данных
300000961706;28;female;нет данных
300001115202;21;female;нет данных
300000815088;24;female;нет данных
200001052068;25;female;echb
300000859118;24;female;normal
200001171360;21;female;нет данных
300001034943;31;female;нет данных
300000862221;22;male;нет данных
300000993835;27;male;нет данных
300001126951;72;male;нет данных
300001100330;37;female;нет данных
300000973010;30;male;нет данных
300000921614;22;male;echb
100001064360;34;female;echb
300001107311;18;male;нет данных
300001149820;23;male;нет данных
200000933624;38;female;нет данных
300001093275;31;female;нет данных
300001043139;34;female;нет данных
200001064114;22;female;нет данных
300001167919;21;male;нет данных
200001079022;24;female;нет данных
200000874378;37;female;нет данных
200000999561;32;female;нет данных
300001084352;22;female;нет данных
200001012118;21;female;нет данных
200001122088;45;female;нет данных
100001079933;38;male;echb
200001114443;51;male;нет данных
300001131643;36;female;нет данных
100000901321;46;male;нет данных
300001141352;18;female;нет данных
200000931229;43;female;нет данных
200001013307;34;male;нет данных
300001094187;33;female;нет данных
300000930481;20;female;нет данных
300001147985;22;female;нет данных
300001062156;24;female;normal
300000854485;43;female;нет данных
300001113454;23;female;нет данных
300000850004;27;female;нет данных
300000931884;29;female;normal
200001079312;23;female;нет данных
300001148199;37;female;нет данных
300001030953;46;male;нет данных
300000870831;22;male;нет данных
200001089871;25;male;нет данных
200000988305;22;female;нет данных
200001119190;22;male;нет данных
300001090855;27;female;нет данных
300001137032;21;female;нет данных
300000912507;29;female;normal
200001086369;41;female;нет данных
300000817397;40;male;normal
300000878714;29;female;нет данных
300000823942;40;female;нет данных
300000811623;24;male;normal
200000873541;61;male;нет данных
300001105895;20;female;нет данных
200001039567;25;female;нет данных
200001142100;26;female;нет данных
300000994656;26;female;нет данных
200001102204;32;male;нет данных
200000809783;25;female;нет данных
300001121524;23;female;нет данных
300001165781;25;female;нет данных
300001112624;40;male;нет данных
200000935697;21;female;нет данных
100001148252;43;female;нет данных
300001024606;31;male;echb
200000954822;23;female;нет данных
200001034367;26;male;нет данных
200001141728;31;male;нет данных
200001115170;23;female;нет данных
200000652377;32;female;нет данных
200000919647;23;female;нет данных
200001085136;31;female;нет данных
200001083486;32;female;нет данных
200000939357;31;female;normal
300000780908;28;female;нет данных
200000955424;39;female;нет данных
300000861757;55;female;normal
300000830295;39;не указан;normal
300001137886;22;female;нет данных
200001152359;33;male;нет данных
200001111390;24;female;нет данных
200000982437;24;female;нет данных
300001121125;21;female;нет данных
200001128029;35;female;нет данных
200001141012;40;female;нет данных
300001148103;31;male;нет данных
200001153246;36;female;нет данных
300001135771;19;male;нет данных
200000839540;37;female;нет данных
300001103010;22;female;нет данных
300001129638;51;female;нет данных
300001074105;29;male;нет данных
300001076558;20;female;echb
300001164340;23;female;нет данных
200001086232;39;female;нет данных
300000732691;56;female;нет данных
300001116665;26;female;нет данных
200001089800;27;female;нет данных
200000967228;30;female;normal
100001119674;38;female;нет данных
200001134674;15;female;нет данных
300000913622;26;male;нет данных
300000985177;36;female;нет данных
200001098110;44;female;нет данных
300001007584;21;female;нет данных
200001031497;26;male;normal
100000856956;64;female;нет данных
200000957291;82;female;нет данных
100001028660;45;female;нет данных
300001005458;20;female;нет данных
300000869501;23;female;normal
300001128973;23;female;нет данных
200001051916;29;female;нет данных
300001116391;48;male;нет данных
100001073300;49;female;нет данных
300001138148;22;female;нет данных
300000855546;29;female;нет данных
100001013119;71;male;нет данных
300000669848;33;male;нет данных
300000953417;23;male;нет данных
300000946172;26;female;normal
200001114822;24;female;нет данных
100001074793;56;female;нет данных
300000941202;42;female;нет данных
200001071147;20;female;нет данных
100001020292;50;female;нет данных
200000999947;35;male;нет данных
300001117896;61;female;нет данных
100000995895;35;female;нет данных
200000992187;37;female;нет данных
200001097781;36;male;нет данных
200001017661;43;male;нет данных
200001090416;43;male;нет данных
300000899447;21;female;нет данных
300001017426;37;female;нет данных
300001109992;24;female;нет данных
200001002499;20;female;нет данных
300001087829;43;female;нет данных
300001120416;24;male;нет данных
200001122669;22;female;нет данных
200001132293;23;male;нет данных
300000871234;22;female;normal
200001145214;21;female;нет данных
300001122498;43;male;нет данных
200001086226;29;female;нет данных
200001113522;24;female;нет данных
100000818296;57;female;нет данных
200000938258;32;male;нет данных
200001126558;51;female;нет данных
300001167661;36;male;нет данных
200000940835;22;female;нет данных
200001090273;65;female;нет данных
100000924539;84;female;normal
200001111255;69;male;нет данных
200001095613;25;female;normal
200001040166;37;female;нет данных
300001049696;28;female;нет данных
200000999695;22;female;нет данных
200000880566;41;female;нет данных
200000875041;24;female;normal
100000929917;80;male;нет данных
100001109391;37;female;нет данных
300000783902;51;male;normal
200001036530;27;female;нет данных
200001073848;23;male;echb
300000819680;32;male;нет данных
200001012647;21;male;нет данных
300001108144;35;male;normal
100001004254;68;male;нет данных
200001130019;18;female;нет данных
200001066277;60;female;нет данных
200000692475;42;female;нет данных
100001000305;41;female;нет данных
200000801718;22;male;нет данных
200000915915;36;male;нет данных
300001155440;24;female;нет данных
300001002330;29;female;нет данных
200001153970;41;male;нет данных
300001143088;18;female;нет данных
200000842095;25;female;нет данных
300001104683;30;female;нет данных
100000954875;51;male;нет данных
300001071285;21;male;нет данных
100001110237;75;male;нет данных
200000994723;37;male;нет данных
200001129285;30;female;нет данных
200000971351;21;female;нет данных
100000921901;35;female;echb
300000706891;35;female;нет данных
200000954384;21;female;нет данных
300001150026;29;female;нет данных
300000903480;42;male;нет данных
200001104442;34;female;нет данных
200000822037;58;male;нет данных
200001146464;17;female;нет данных
200001063647;32;female;нет данных
200001089757;22;male;нет данных
200000871748;60;female;normal
200000937642;58;female;нет данных
200000957572;54;male;нет данных
200001063393;42;male;нет данных
300001107277;23;female;нет данных
300001035891;19;female;нет данных
200001079546;35;female;нет данных
300000971014;23;female;нет данных
300001102279;22;female;нет данных
200001122962;26;female;нет данных
200001148215;29;female;нет данных
200001113079;29;female;нет данных
300000995135;24;female;normal
200001153972;26;female;нет данных
200001083611;21;female;нет данных
300001064675;42;male;echb
100001076647;39;female;echb
200001167730;23;female;нет данных
200001000511;23;male;нет данных
300000660633;29;male;нет данных
300001138800;22;male;нет данных
100000974609;82;female;нет данных
200001096892;25;female;нет данных
200001106120;19;female;нет данных
200001038555;23;female;нет данных
200001143114;19;female;нет данных
300001120633;20;female;нет данных
200001161298;52;female;нет данных
200001058173;25;female;echb
300001164681;42;female;нет данных
200000938571;24;male;нет данных
200001111484;43;female;нет данных
200000844116;51;female;нет данных
200001096705;25;female;нет данных
300000942992;26;female;нет данных
200000842118;34;female;нет данных
300001056585;41;female;нет данных
300000890512;34;female;нет данных
300001058403;24;male;нет данных
300001141732;33;male;нет данных
300000905479;41;female;нет данных
200001137087;23;male;нет данных
200001118389;26;female;нет данных
300000685855;42;male;нет данных
200001098489;30;male;нет данных
300001134634;39;female;нет данных
200001066750;39;female;нет данных
200001156454;21;female;нет данных
300000909560;45;female;нет данных
200001057600;32;female;echb
300001135717;28;male;нет данных
200000952327;18;male;нет данных
100001018986;42;female;normal
300000934757;24;female;нет данных
200001137791;23;female;нет данных
200000869567;46;female;нет данных
300001074386;45;female;нет данных
200000925165;57;female;нет данных
200001059319;45;female;echb
200001094098;37;female;нет данных
200000980921;26;female;нет данных
200001134645;33;female;нет данных
200001105771;33;female;нет данных
100001054092;50;female;нет данных
200000951625;28;male;нет данных
100001105917;61;female;нет данных
300001032934;30;female;нет данных
300000847182;30;male;нет данных
200001137595;33;female;нет данных
200001115776;59;female;нет данных
200001123229;36;male;нет данных
300000982727;28;male;нет данных
200000842621;60;female;нет данных
300000783085;28;female;нет данных
300000897576;28;female;normal
300000842403;34;female;нет данных
300000816780;36;male;normal
200001138271;29;male;нет данных
300001109368;20;female;нет данных
300001147978;22;male;нет данных
200000891584;43;female;echb
300000892584;29;male;нет данных
100001141628;34;male;нет данных
300001104373;23;male;нет данных
200001109875;51;female;нет данных
300001140837;42;male;нет данных
300001072207;25;female;echb
100001041810;74;male;нет данных
300001114765;28;female;нет данных
200001090721;19;female;нет данных
300001150421;16;male;нет данных
300001113678;37;female;нет данных
300001151451;39;male;нет данных
200001097626;65;male;нет данных
300001127270;19;female;нет данных
300001100362;25;male;нет данных
200000948496;70;male;нет данных
300001061322;35;female;нет данных
300000897792;60;female;нет данных
300000876006;23;female;normal
200001085777;33;female;нет данных
200001112107;33;female;нет данных
300000955930;24;male;нет данных
200001152569;22;male;нет данных
100000909347;72;male;нет данных
300001042270;35;male;нет данных
200001148480;21;female;нет данных
300001017140;56;male;нет данных
200001093843;33;male;нет данных
200000897194;58;female;нет данных
300000916282;30;male;нет данных
200001123120;24;male;нет данных
200001015663;19;female;нет данных
200001076878;38;female;нет данных
200001028131;36;female;нет данных
300000843170;29;female;echb
200000643586;29;male;нет данных
300001150876;55;female;нет данных
200001112714;40;male;нет данных
200001087019;35;male;нет данных
200000824395;35;female;нет данных
200001125251;32;female;нет данных
200000977163;26;male;нет данных
200000889839;23;male;нет данных
300001150114;60;male;нет данных
300001095035;36;female;нет данных
300001106979;18;male;нет данных
100001001094;59;male;нет данных
300001124132;30;male;нет данных
100000840378;37;male;нет данных
200000924279;24;female;нет данных
300001104362;23;male;нет данных
200001091886;45;female;нет данных
200001139069;37;male;нет данных
200001091547;27;female;echb
200000982386;26;male;нет данных
200001082838;43;female;нет данных
300000924741;30;female;нет данных
200000964724;22;female;нет данных
200001066739;24;male;нет данных
300000783420;37;male;нет данных
300001143376;52;female;нет данных
100000896285;44;female;нет данных
300001114470;21;female;нет данных
300001076454;24;female;echb
200001052941;59;male;нет данных
200000850352;24;male;нет данных
200001109147;21;male;нет данных
200001118625;23;male;нет данных
300001084157;21;male;нет данных
200001109154;41;male;нет данных
300001158315;39;female;нет данных
200000934038;51;female;normal
300001136356;24;female;нет данных
300001127181;21;female;нет данных
300001123399;51;female;нет данных
300000869353;35;female;нет данных
100000877988;41;female;нет данных
300001152690;29;female;нет данных
300001057567;53;female;нет данных
300001139881;32;female;нет данных
200000973207;26;female;normal
300001000105;20;female;нет данных
200001084436;23;female;нет данных
300000939100;23;female;нет данных
300001007522;20;female;нет данных
200001042640;25;female;normal
200001058945;22;male;echb
300001110335;22;female;нет данных
300000920673;22;female;normal
300001076080;19;female;нет данных
300001123248;27;female;нет данных
100001006196;47;male;нет данных
200001117481;41;male;нет данных
300000892199;36;male;нет данных
300001101214;32;male;нет данных
200001156010;49;male;нет данных
300000651472;27;female;echb
200001146902;22;female;нет данных
300000806065;24;female;echb
300001119177;27;female;нет данных
200000875365;34;male;нет данных
300001115204;19;female;нет данных
200001110989;38;female;нет данных
100001034832;46;male;нет данных
200001075610;21;male;нет данных
100000971545;45;male;нет данных
300001107776;49;female;нет данных
200001143175;23;female;нет данных
300000878517;21;female;нет данных
200001142006;28;female;нет данных
100001134475;56;female;нет данных
200001027746;25;female;нет данных
200001073013;20;female;нет данных
200001113123;22;female;нет данных
300001149360;19;female;нет данных
200001154338;30;female;нет данных
200001038297;23;male;нет данных
200000942900;22;female;нет данных
100001085644;37;male;нет данных
300001076233;22;female;нет данных
100000977261;61;female;normal
200001119240;16;female;нет данных
200001045763;25;male;echb
200001071254;20;female;нет данных
200001034423;24;female;нет данных
200000771898;27;male;нет данных
300001061776;56;female;нет данных
300001090329;19;female;нет данных
200001121607;23;female;нет данных
200001048141;26;female;нет данных
200001113660;36;male;нет данных
300001116766;43;female;нет данных
200001043072;55;male;нет данных
300000802008;24;female;нет данных
300001132803;23;male;нет данных
100000929370;59;female;нет данных
200001039023;37;male;нет данных
300001069887;24;male;нет данных
300001118974;18;female;нет данных
300001086382;18;male;нет данных
200001150400;29;female;нет данных
200001121313;50;male;нет данных
300001113074;54;female;нет данных
300001046644;37;female;нет данных
200000997201;48;female;echb
300001143164;57;female;нет данных
200001069542;24;female;нет данных
300001130417;37;female;нет данных
300001065741;15;female;нет данных
200001111504;41;male;нет данных
200001156943;48;female;нет данных
300001034698;68;female;нет данных
200001122668;30;male;нет данных
300000984649;22;female;нет данных
200001144584;37;male;нет данных
200001143174;19;female;нет данных
300001010435;23;female;нет данных
200000862917;25;female;нет данных
100000959672;58;male;echb
300000905655;21;female;нет данных
200000955937;32;female;echb
200001147440;29;male;нет данных
300001111110;25;male;нет данных
100001084044;47;female;нет данных
300000987604;38;female;normal
300001169448;45;female;нет данных
200001106342;21;female;нет данных
200001113076;33;female;нет данных
300001120622;43;male;нет данных
200000943779;27;male;нет данных
200000968925;38;male;нет данных
200001124026;28;female;нет данных
100000996732;69;male;нет данных
200001104077;29;male;нет данных
200001128090;24;female;нет данных
200000876680;26;male;нет данных
300001101445;25;female;нет данных
300000836661;37;male;нет данных
200001099036;34;female;нет данных
200001104059;56;female;нет данных
300000970355;46;female;echb
200001078838;25;female;echb
300000840233;23;female;normal
200001142307;27;male;нет данных
300001126895;29;female;нет данных
300000715508;30;male;нет данных
300001131281;30;female;нет данных
200000857606;29;female;нет данных
200001113078;30;female;нет данных
200001110988;46;female;нет данных
300000737005;56;male;нет данных
200001123850;45;male;нет данных
300001124976;38;female;нет данных
100001030360;40;male;нет данных
200000993484;38;female;нет данных
300001086431;17;female;нет данных
300001133227;28;male;нет данных
300001115839;31;male;нет данных
300000912513;23;female;нет данных
300001013584;24;female;нет данных
300000976955;38;female;нет данных
200001115203;22;female;нет данных
200001070956;48;female;нет данных
200001138972;50;female;нет данных
200001103873;41;male;нет данных
300001120865;29;female;нет данных
200001151161;54;female;нет данных
100001143916;35;female;нет данных
300001130786;25;male;нет данных
300001137910;25;female;нет данных
300001107408;19;female;нет данных
300000972551;25;female;нет данных
300001091590;27;female;нет данных
300001151373;32;female;нет данных
100001112861;54;female;нет данных
200001126494;18;female;нет данных
300000644333;29;female;нет данных
300000939068;76;male;normal
300000901409;55;female;нет данных
300001108637;30;male;нет данных
200000916465;21;female;нет данных
200001149654;22;female;нет данных
300001066647;28;female;нет данных
200000993043;49;female;нет данных
200001098093;60;male;нет данных
300000913525;30;female;нет данных
200001142205;25;female;нет данных
300001156900;24;female;нет данных
300001043010;45;male;нет данных
300001037528;25;female;normal
300001010226;24;male;normal
200000940468;23;female;нет данных
200001051640;22;female;echb
300001074028;42;female;нет данных
300001137841;22;male;нет данных
200000884154;28;male;нет данных
200001086568;30;female;нет данных
300001045728;21;female;нет данных
300001095522;30;male;нет данных
200000945469;23;male;нет данных
200001004931;49;female;echb
300000885800;34;male;нет данных
200001016473;19;male;normal
200000933974;29;female;нет данных
300001002026;31;female;нет данных
300000964019;70;female;нет данных
100000909285;39;female;нет данных
200001026346;19;female;нет данных
300001096440;25;female;нет данных
200001143192;34;male;нет данных
100001055130;50;female;нет данных
300000908446;27;male;normal
200000989962;29;female;нет данных
200000957656;20;female;нет данных
300000892720;62;female;нет данных
200001108487;32;female;нет данных
300000905280;41;male;normal
200001104018;24;female;нет данных
100000644359;74;male;нет данных
200001145359;18;female;нет данных
200001143191;38;male;нет данных
200000941189;28;male;нет данных
300000952566;33;female;нет данных
200000930775;27;female;нет данных
200000550325;33;male;нет данных
300000915525;30;female;нет данных
300001125835;22;female;нет данных
300001080382;26;female;нет данных
300000953676;42;male;echb
300001113506;18;female;нет данных
300001151920;24;male;нет данных
300001089251;22;female;нет данных
300001149684;55;female;нет данных
100001100008;38;male;нет данных
200000856410;31;female;нет данных
300000999913;36;male;нет данных
200001149329;29;male;нет данных
300001138843;29;female;нет данных
100000879196;61;female;нет данных
300000882601;39;male;нет данных
200001136796;23;male;нет данных
300000990325;25;female;нет данных
300000976841;30;female;нет данных
200001119813;29;male;нет данных
100000797803;54;female;нет данных
300001074160;20;female;нет данных
200001090722;19;female;нет данных
200001102519;22;male;нет данных
300001145537;41;female;нет данных
300001100368;26;male;нет данных
200001122252;18;female;нет данных
100001030907;40;female;нет данных
300000967138;23;female;нет данных
300001109366;19;male;нет данных
200001123650;42;male;нет данных
200000884592;27;male;нет данных
300000980022;31;female;нет данных
200000860448;29;male;нет данных
200001032558;41;female;normal
200001111652;19;female;нет данных
300000852604;22;female;нет данных
300001013266;23;female;normal
200001121283;37;female;normal
200000934748;27;female;нет данных
300001005309;20;female;нет данных
300000803597;24;female;нет данных
300001052378;24;male;echb
200000971075;59;male;normal
200001041462;26;female;нет данных
200001106283;46;female;нет данных
200001106922;31;female;нет данных
200000884057;22;female;нет данных
200001001390;24;female;normal
300000858098;25;female;нет данных
100001054658;56;female;нет данных
300000970744;40;female;normal
200001000264;73;male;normal
200001121429;16;male;нет данных
200000993047;32;female;нет данных
200000993648;24;female;нет данных
300001012315;21;female;нет данных
200001106042;61;female;нет данных
200000810628;23;male;нет данных
100001054078;49;female;нет данных
200001116998;18;female;нет данных
200001057702;40;female;нет данных
200001105071;37;male;нет данных
200001113073;28;male;нет данных
300000839051;22;male;нет данных
100001119717;34;female;нет данных
200001089811;30;female;нет данных
200001113199;38;male;нет данных
300001049659;31;male;echb
200001121547;24;female;нет данных
200001102475;39;female;нет данных
200001120163;20;male;нет данных
300001104858;19;female;нет данных
300001098353;38;female;нет данных
300000919931;38;female;нет данных
200001120884;30;female;нет данных
300001113198;30;male;нет данных
200001152111;23;male;нет данных
200001144638;26;male;нет данных
300001100563;31;male;нет данных
200000942244;28;female;нет данных
200001124936;26;female;нет данных
300000900687;26;male;normal
100001089661;38;male;нет данных
300001026308;25;male;echb
300000923533;28;male;normal
100001102479;49;female;нет данных
300001033017;42;female;нет данных
200000939568;22;male;нет данных
100001060640;36;female;нет данных
300001001489;36;female;нет данных
200000949339;25;female;нет данных
300000755940;32;female;normal
300001116873;21;male;нет данных
300001103496;18;female;нет данных
300000996211;31;female;нет данных
300000974250;21;female;нет данных
300000940198;21;female;нет данных
200000833717;42;female;нет данных
100001026026;61;female;нет данных
200000912729;22;male;echb
300000979566;50;female;нет данных
200001040538;28;female;нет данных
300000987294;22;male;нет данных
200001010386;24;female;echb
300001111313;19;male;нет данных
200000850610;49;female;нет данных
200001155113;33;male;нет данных
300001116604;32;male;нет данных
300000803617;23;female;нет данных
200001142026;21;female;нет данных
100001098983;58;male;нет данных
300001004278;62;female;нет данных
200000842834;41;female;normal
300000973298;21;female;нет данных
200000998602;38;female;нет данных
300000945289;22;male;нет данных
200000977390;22;female;нет данных
200001090638;51;male;нет данных
200000862303;19;female;normal
200000947934;21;male;нет данных
300001078157;21;female;нет данных
100001085895;55;female;нет данных
200000983317;24;male;normal
200001136138;29;female;нет данных
300001128555;20;female;нет данных
300001111508;41;male;нет данных
300001001451;24;female;нет данных
200000797729;35;male;нет данных
100001079824;72;male;нет данных
200001049156;21;female;нет данных
300001121188;23;female;нет данных
300000885342;26;female;normal
200001148212;34;female;нет данных
200001032605;28;female;нет данных
100000811313;48;male;нет данных
300001032289;31;male;нет данных
300000963620;23;female;normal
100000872293;41;male;normal
200000868735;31;male;нет данных
200001134825;26;male;нет данных
100000908708;59;female;normal
200001024856;33;male;нет данных
200001110289;21;female;нет данных
300000799277;38;female;нет данных
300001079279;34;female;нет данных
300000905746;23;female;нет данных
200000852854;22;female;нет данных
200001105213;24;female;нет данных
300000798832;30;female;нет данных
200001001194;21;female;нет данных
300000862228;42;female;нет данных
200001028836;58;male;normal
300001109429;28;male;нет данных
200001102337;22;female;нет данных
300001049707;44;male;нет данных
300000865116;25;male;нет данных
200001164618;26;female;нет данных
300001093564;39;male;нет данных
100001020280;40;male;echb
300001120187;22;female;нет данных
200001156154;34;female;нет данных
200000650246;30;female;normal
300001091405;35;female;нет данных
300001144172;31;female;нет данных
300001141019;32;male;нет данных
300001126121;24;male;нет данных
300001000468;30;female;normal
300000850298;28;female;нет данных
200001099469;19;female;нет данных
100000828413;40;male;нет данных
300000986676;38;female;нет данных
200000946753;27;male;нет данных
300000805447;24;female;normal
200000896620;28;female;нет данных
200001110360;36;male;нет данных
300001112865;52;female;нет данных
200001129549;39;male;нет данных
