id,description,object_img
98,"Фотонегатив пленочный. Станция Пермь-сортировочная. Роспуск вагонов с горки.  ПОКМ-15000/6 фотосъемка,пленка    Загуляев Евгений Николаевич (Фотограф) Изображение нескольких вагонов, стоящих на рельсах чуть поодаль друг от друга, вокруг железные и бетонные столбы. Вагоны загружены брёвнами. Вид сверху.",1093
1322,"Фотография. М.А. Крашенинникова с матерью и сотрудниками газеты «Молодая Гвардия».  ПОКМ-19790/182 фотопечать,фотобумага     ",474
2023,"Гербарий. Копеечник альпийский. Hedysarum alpinum L.  ПОКМ-7937/59 расправлено,натура,высушено,смонтировано на лист а3 формата    Теплоухов Федор Александрович ",2681
2099,"Монета ДМ/Н-191 ПОКМ-17741/141 серебро; штамповка д. 36 мм 1818 г. г. Санкт-Петербург  В центре - герб Российской империи (двуглавый орел с тремя коронами, скипетром и державой в лапах, цепью ордена Андрея Первозванного и гербом Москвы на груди). Под лапами орла буквы ""ПС"". Вокруг него надпись ""МОНЕТА РУБЛЬ 1818"". По краю - рубчатый ободок. В центре, в обрамлении венка из лавровой и дубовой ветвей с императорской короной вверху, расположена надпись в четыре строки ""ЧИСТАГО /СЕРЕБРА /4 ЗОЛОТН. /21 ДОЛЯ"", ниже под чертой буквы ""С.П.Б."" По краю - рубчатый ободок. надпись ""СЕР. 83 1/3 ПРОБЫ 4 ЗОЛОТНИКА  82 14/25 ДОЛИ"".",64
245,"Фотооткрытка. Портрет мужчины.  ПОКМ-19355/403 фотобумага,фотопечать,рукопись (на обороте),чернила (черные),печать типографская (на обороте)    Бурдин С. (Фотограф) ",745
2077,"Гербарий. Камнеломка сибирская. Saxifraga sibirica L.  ПОКМ-7190/47 высушено,расправлено,смонтировано на лист а3 формата,гербарий    Теплоухов Федор Александрович Цветущее растение",2795
221,"Этюд [Коровы].  ПКМ-21438/3 масло,холст на картоне    Гиппиус Наталья Александровна Стадо коров на пастбище. На переднем плане изображена лежащая белая корова в коричневых пятнах.  На среднем плане несколько коров. На заднем плане одноэтажная длинная постройка с небольшими окнами, высокой двускатной крышей и пристроем в виде круглой башни. Линия горизонта перекрыта, небо светлых голубовато-зеленых тонов.",2631
2831,"Гербарий. Купена лекарственная. Polygonatum odoratum (Mill.) Druce, 1906  ПОКМ-7190/13 смонтировано на лист а3 формата,расправлено,высушено,гербарий    Теплоухов Федор Александрович Два цветущих растение",2919
2075,"Фотонегатив пленочный. Завод имени Ф.Э. Дзержинского, новое изделие завода - гидроклин - демонстрирует мастер Белик.  ПОКМ-15007/39 фотосъемка,пленка    Загуляев Евгений Николаевич (Фотограф) Портрет погрудный женщины, одетой в белый халат и косынку; в очках. Она работает за аппаратом.",1163
2092,"Гербарий. Горечавка язычковая. Gentianella lingulata (C. Agardh) N.M. Pritch.  ПОКМ-7190/98 высушено,смонтировано на лист а3 формата,гербарий,расправлено    Теплоухов Федор Александрович Три цветущих растения",2815
1285,"Фотонегатив пленочный. Славароссов (Сеененко) Х.Н., один из первых русских авиаторов, учитель Каменского В.В. в авиации. Город Варшава, 1911 г. (снимок сделан с фотографии, хранящейся у Каменской Е.В., внучки поэта).  ПОКМ-18082/65 фотосъемка,фотопленка    Загуляев Евгений Николаевич (Фотограф) ",650
987,"Фотография. Грацинская - директор Пермской женской Мариинской гимназии.  ПОКМ-19233/14 фотобумага,картон,фотопечать    Третьяков Иван Иванович (Фотограф) ",1515
1574,"ПЗС. Подвеска коньковая А/РЖВС-2932 ПОКМ-11377/46 литье,бронза     Подвеска коньковая односторонняя плоская прорезная. В верхней части подвески - изображение двух конских голов, повернутых в противоположные стороны. Крупные головы коней выполнены в реалистичной манере: уши обозначены треугольными выступами, выделены глаза, ноздри и рты, Концы челюстей касаются краев подвески, между шеями коней - треугольное отверстие. Внизу подвеска завершается тремя крупными кругами, от каждого круга вниз отходят грозди из трех мелких кружков. Подвеска орнаментирована слабо выступающими валиками с косой или прямой насечкой - таким образом показаны гривы коней, отделена верхняя часть подвески от нижней, оконтурены крупные круги. В верхней части между шеями коней расположена петля для подвешивания в виде сильно выступающей арки с круглым отверстием, под ним - треугольник псевдозерни.",1983
893,"Фотография. Группа музейных сотрудников (в том числе Андерсон).  ПОКМ-19814/154 фотобумага,фотопечать     Изображена группа людей в два ряда, 16 человек. Первый ряд - сидят, второй ряд - стоят. За спинами, на стенах, висят витрины с экспонатами.",1570
709,"Изразец гладкий расписной - поясовой  ПОКМ-19182/5 роспись,формовка,эмаль (белая, синяя),глина (красная грубокирпичная)     Изразец поясовой из красной грубокирпичной глины. На лицевой пластине изразца нанесена ромбовидная сетка из полос коричневой  эмали, в местах пересечения линий  расположены 4 точки синей эмали. Румпа отступающая от края лицевой пластины с отверстиями (ул. Островского, территория военного госпиталя)",1870
1083,"Фотонегатив пленочный. Панорама улицы Ленина, снимок с Дома Советов.  ПОКМ-15011/18 фотосъемка,пленка    Котляков Эдуард Николаевич (Фотограф) Изображение улицы города. В центре снимка большая дорога. С одной стороны дороги расположены небольшие деревянные дома, с другой - высотные здания. На заднем плане строятся высокие жилые дома, рядом с ними стоят краны.",1009
2332,"Этюд. ""Поздней осенью"".  ПКМ-21313/2 масло,картон    Новиньков Юрий Алексеевич Осенний пейзаж в голубовато-серых, серовато-коричневых, серо-зеленых тонах. В центре композиции группа тесно стоящих деревенских построек - бревенчатых домиков с двускатными крышами - на пологом холме. Высокое небо в густых дымчатых облаках.",2467
1340,"Этюд. ""Шлюз Воткинской ГЭС"".  ПКМ-21384/8 бумага,тушь черная    Тумбасов Анатолий Николаевич Рисунок кистью черной тушью. На переднем плане участок палубы парохода, на котором, спиной к зрителю, стоит группа людей в городской осенней одежде. Перед пароходом полуоткрытые затворы шлюза в виде вертикальных прямоугольных темных стен с горизонтальной перекладиной сверху. В отверстие створ виден участок реки с идущим по ней катером, противоположный холмистый берег с вышкой.",2446
2851,"Фотография. ОКОД (оперативный комсомольский отряд дружинников) ППО ""Моторостроитель"".  ПОКМ-18530/669 фотобумага,фотопечать     Изображена в полный рост, в профиль, группа, состоящая из мужчины в форме милиции, и двух молодых мужчин ( на рукаве куртки одного из них повязка с надписью ""ОКОД"" , ведущих к двери здания упирающегося мужчину. Молодые люди одеты в зимнюю одежду. На заднем плане, справа видна грузовая машина с прицепным фургоном. Фотография аннотирована .",1626
302,"Фотография. Закладка парка им XXII съезда г. Перми.  ПКМ-21119/22 фотопечать,фотобумага     Вид на открытое пространство с множеством людей, на дальнем плане - многоэтажные кирпичные дома.",758
2977,"Пистолет однозарядный, самодельный ОР-30 ПОКМ-4583 дерево,сталь,кустарное производство     Ствол откидной, круглый в сечении, без нарезов, с  запирающей защелкой наверху (по типу револьверов Смита и Вессона). Курок внешний, серединный с длинным бойком. Щечки рукояти деревянные, гладкие, скреплены металлическими скобами.",2255
1161,"Фотонегатив пленочный. Вагнер Е.А., ректор Пермского Государственного медицинского института, член Академии медицинских наук СССР.  ПОКМ-17989/6 фотосъемка,фотопленка    Загуляев Михаил Евгеньевич (Фотограф) ",570
2309,"Гербарий. Вероника длиннолистная. Veronica longifolia L., 1753  ПОКМ-7190/193 гербарий,высушено,расправлено,смонтировано на лист а3 формата    Теплоухов Федор Александрович Цветущее растение",2741
1778,"Фотонегатив стеклянный. Этнография коми-пермяков. Курная изба в деревне Коковная Юмской волости.  ПОКМ-10820/26 стекло     Вид на боковую часть деревянной покосившейся избы с двускатной крышей, резным «домиком» на дымоходной трубе; слева от избы деревянная постройка с ограждением; перед избой шесть человек (в центре) в крестьянской одежде, бревна, плетневая изгородь (справа), перекресток двух проселочных дорог.",207
920,"ПЗС. Личина  ПОКМ-18629/1 литье,бронза     Пластина плоская односторонняя, изображение четкое, рельефное. В центре композиции  - антропоморфная личина сердцевидной формы в фас, контур лица и нос в более высокой плоскости, чем лицо, обозначены глаза и рот. Сверху и с боков личина обрамлена двумя лосиными головами. В нижней части композиции изображено хищное животное (семейство канисовых - ?): небольшая голова с торчащими ушками, довольно длинное туловище, когтистые лапы полусогнуты, хвост опущен вниз. Туловище и лапы имеют определенное сходство с ящерами, но морда намного короче, пасть маленькая. Мелкие детали проработаны углубленным контуром или углублениями. На тыльной стороне в верхней части имеется горизонтальное литое ушко для подвешивания.",2176
2750,"Фотография. Дом № 6 по ул. Кирова.  ПОКМ-19814/1402 фотопечать,фотобумага     Изображен двухэтажный каменный дом с рядами окон. Перед домом дорога и тротуар, по которому идут женщина и ребенок с санками. На  тротуаре лежит снег. Перед домом растет дерево и стоит столб.",1444
2529,"Фотография. 3й пленум Пермского окружкома ВЛКСМ.  ПОКМ-18530/2277 фотопечать,картон,фотобумага     ",1317
1346,"Диапозитив стеклянный. Пермская деревянная скульптура. Крест с распятым Христом. ДИ/ДП-101 ПОКМ-16610/3 стекло,фотосъемка,бумага     Изображение деревянной скульптурной композиции: большой крест с украшениями на концах и в центре, на нем распят худой мужчина с венцом на голове и повязкой на поясе.",695
2714,"Фотонегатив пленочный. Оглоблина З., Каменский В.В. в редакции газеты «Звезда». Город Пермь, 1936 г. (негатив сделан с фотографии, хранящейся в ГАПО, р. 1588, оп. 1, д. 660).  ПОКМ-18082/36 фотопленка,фотосъемка    Загуляев Евгений Николаевич (Фотограф) ",609
824,"Этюд. ""Березы"".  ПКМ-21326/25 масло,картон    Калабухов Николай Николаевич Летний пейзаж. На переднем плане участок песчаного берега реки и освещенные солнцем стволы берез. Слева участок голубой водной глади, а дальнем плане полоса синевато-зеленого леса.",2464
1877,"Фотография. Дом № 23 по ул. К.Маркса.  ПОКМ-19814/1406 фотопечать,фотобумага     Изображен трехэтажный каменный дом с рядами окон и фигурной каменной кладкой. Перед домом дорога и тротуар, на котором лежит снег. Слева на тротуаре стоят люди, одетые в зимнюю одежду.",1448
822,"Фотография. Плюснина А.П. в спектакле «В старые годы» (Пермский городской театр).  ПКМ-21169/2 фотопечать,картон (паспарту),фотобумага    Якунин Александр Александрович (Фотограф) Молодая женщина (в полный рост, анфас) стоит у дивана. Женщина одета в длинный приталенный сарафан, вдоль шва, соединяющего передние полы, ряд пуговиц, по обе стороны которого и по низу юбки пришита широкая тесьма, кофта светлая с широким темным манжетом. На сарафан надета накладная шубка с прорезью для рук по линии проймы, фальшивым декоративным рукавом. На шее -бусы - 7 рядов. На голове - кокошник. В левой руке светлый носовой платочек.",1238
1268,"Часы карманные механические с цифровой индексацией М-709 ПКМ-21149 заводское производство, латунь, никель (хромированный) диаметр 4,5 см, толщина 0,7 см 1950-е гг.   Корпус в форме диска стального цвета, по окружности украшен несложным орнаментом. Вместо циферблата глухая плоская крышка с тремя небольшими отверстиями, в которых видны цифры, указывающие по отдельности: часы, минуты, секунды.",2977
2035,"Фотография. VIII пленум Пермского ОК ВЛКСМ ДПП.  ПОКМ-18530/2321 фотопечать,фотобумага     ",1351
156,"
                Двое крестьян Верх-Язьвинской волости Чердынского уезда (вид сбоку), слева - староста Тенобаевского общества Паньков Иван Ксенофонтович  ПОКМ-10820/158 стекло     Изображение стоящих вполоборота к объективу двух мужчин в шапочках, полосатых лузанах, шабурах, штанах темного цвета и сапогах; за мужчинами слева видно крытые ворота, справа - листву.",129
1897,"Фотонегатив пленочный. Завод имени Ленина. Вновь реконструируемый комплекс общественного питания «Горный Хрусталь».  ПОКМ-15000/83 фотосъемка,пленка    Загуляев Евгений Николаевич (Фотограф) Изображение трёхэтажного дома с большими окнами. На крыше название «Горный Хрусталь». В окнах горит свет. Угол здания полукругом. Рядом со зданием горят фонари.",1074
635,"Фотография. Новый год. ДК Кирова.  ПОКМ-18530/2257 фотопечать,фотобумага     ",1314
748,"Фотография. Пермь. Вид с северо-восточной стороны. ДИ/Ф-95 ПОКМ-10927/8 клей,фотопечать,картон,фотобумага (глянцевая)    [Якунин Александр Александрович] (Фотограф) Вид на город с холма, с левой стороны холма вниз по склону расположен невысокий деревянный забор. У подножия холма расположено  одноэтажное здание с двускатной крышей и двумя рядами слуховых окон на ней. На дальнем плане - здание массивной  пятикупольной церкви с колокольней, далее жилые постройки, слева река.",1364
1350,"Монета ДМ/Н-679 ПОКМ-10727/21 серебро; штамповка d - 22 мм 1810 г. г. Санкт-Петербург  в центре расположен герб Российской империи (двуглавый орел с тремя коронами над головами,  гербом Москвы на груди и цепью ордена Андрея Первозванного на плечах, скипетром и державой в лапах). Под лапами орла буквы «ФГ», дата: «1810». По краю – буртик с мелкой насечкой. в центре надпись: ""20  копѣекъ  С.П.Б."" окружена венком из дубовых и лавровых листьев. Сверху - императорская корона. По краю – буртик с мелкой насечкой. пунктир",44
862,"Монета 2 копейки 1811 г. А/РУС-302 ПКМ-21218/13 медь; штамповка Д- 30 мм. 1811 г.  правление Александра 1  АВЕРС: В центре поля - герб России второй разновидности: двуглавый орел держит в лапах знаки царской власти - скипетр и державу; над орлом размещена корона. На груди орла - московский герб (всадник, поражающий копьем дракона), на плечах орла - цепь с крестом ордена Андрея Первозванного. Под лапами орла литеры ""Н"" и ""М"" (""Николай Мунд"" - минцмейстер), ниже - дата ""1811"". По краю - точечный ободок и бортик. РЕВЕРС: В центре номинал в три строчки: ""2. / КОПЕЙ / КИ"". Вокруг лавровый венок сверху корона. Под обрезом  литеры ""Е.М."" (""екатеринбургская монета"") - обозначение Екатеринбургского монетного двора. ГУРТ: гладкий. (Р-4. Уч. В΄\24, гл. 2,1 м)",67
2805,"Гербарий. Мята полевая. Mentha arvensis L.  ПОКМ-7190/151 высушено,смонтировано на лист а3 формата,гербарий,расправлено    Теплоухов Федор Александрович Цветущее растение, стебель согнут",2846
2211,"Фотография. Ул.Окулова, 12 (общий вид дома купца Лихачева).  ПОКМ-19814/1382 фотопечать,фотобумага     Изображен двухэтажный кирпичный дом с небольшой дощатой пристройкой. Перед домом забор из досок, вдоль которого растут кусты и расположены грядки.",1477
478,"Картина. ""Гроза отходит"".  ПКМ-21331/50 гуашь,картон    Тумбасов Анатолий Николаевич Летний пейзаж в лилово-голубых, синих, зеленых, коричневых, оранжевых тонах. На переднем плане слева высокая сосна, каменистые скалы. В центре композиции излучина узкой светло-голубой реки, горизонт низкий. Справа - радуга на фоне яркого грозового лилово-голубого неба и зеленовато-голубых туч.",2605
978,"Картина. ""Портрет старой женщины"". ИЗО/ЖГБ-62 ПОКМ-4076 масло,холст (на оргалите)    Неизвестный художник На нейтральном темно-коричневом фоне поясное изображение старой женщины в трехчетвертном развороте вправо, сидящей на стуле с высокой спинкой.  В каждой руке держит по веретену. Одета в белую рубаху, поверх нее коричневое безрукавое платье с вырезом-щелью, застегнутым на пуговицу под подбородком, подпоясана сине-зеленым поясом, на голове коричневая кичка (или волосник), покрытая платком, завязанным сзади бантом. Черты лица жесткие, крутые изогнутые брови сведены, губы плотно сжаты. Взгляд темно-карих, слегка раскосых глаз направлен перед собой.",2533
1187,"Фотография. Городские Горки, г. Пермь.  ПКМ-21119/18 фотобумага,фотопечать    Луканин М. (Фотограф) Вид на овраг с деревянными домами на вершине.",746
2678,"Шпага пехотная офицерская образца 1798 г. (вариант). ОР-74 ПОКМ-4627/1 сталь,латунь,позолота,дерево,заводское производство    Бояршинов И. (Мастер) Клинок прямой, узкий, однолезвийный, у конца обоюдоострый с широким, сужающимся долом с обеих сторон. Украшен растительным орнаментом, надписями и позолотой. Гарда состоит из двойной  овальной чаши и крестовины, переходящей в дужку. Гарда, крестовина и дужка позолочены. Черен рукояти деревянный (новодел) обвит витой латунной проволокой, покрыт коричневым лаком. Головка рукояти деревянная в форме сплющенного шара (новодел).",2664
1987,"Фотонегатив пленочный. Евреинов Н.Н., режиссер, театральный деятель. Конец 1900 - 1920-ые гг. (снимок сделан с фотографии, хранящейся у Каменской Е.В., внучки поэта).  ПОКМ-18082/59 фотосъемка,фотопленка    Загуляев Евгений Николаевич (Фотограф) ",655
2339,"Фотонегатив стеклянный. Этнография коми-пермяков. Крестьянки деревни Паршаковой Верх-Язьвинской волости Чердынского уезда.  ПОКМ-10820/135 стекло     Попоясное изображение двух сидящих на стульях женщин, расположенных левым плечом к объективу: на женщине слева платок поверх самшура, шабур, на женщине справа платок поверх расшитого узорами кокошника, рубаха с узорами, сарафан.",287
2753,"Фотография. Посев-культурная бригада по Юговскому району.  ПКМ-21574/14 фотобумага,картон,клей,фотопечать    Бабинцев П. (Фотограф) Изображение семерых мужчин и трех женщин в интерьере.",701
1993,"Фотонегатив пленочный. Панорама улицы Ленина, снимок с Дома Советов.  ПОКМ-15011/35 пленка    Котляков Эдуард Николаевич (Фотограф) Изображение улицы города, в центре снимка дорога, по которой едут автобусы и машина, с одной стороны дороги деревянные небольшие дома, с другой - большие высотные дома, некоторые еще строятся. Снимок сделан с высокого здания.",1050
1421,"Фотография. Вокзал Пермь-1.  ПОКМ-19594/88 фотобумага,фотопечать     ",806
1646,"Фотография. Терехин С.А. в университетской лаборатории биологической химии.  ПОКМ-19355/61 рукопись (на обороте),фотобумага,картон,фотопечать,клей,чернила (черные)     ",720
1245,"Фотонегатив пленочный. Станция Пермь-сортировочная внедряет автоматику и телемеханику. Юрий Попков был башмачником, сейчас он оператор.  ПОКМ-15000/7 фотосъемка,пленка    Загуляев Евгений Николаевич (Фотограф) Изображение (поясное) молодого мужчины, сидящего за пультом. Вид сбоку. Одет в рубашку, рукава закатаны. Волосы волнистые. Голова повёрнута вбок.",1169
2965,"Фотонегатив стеклянный. Этнография коми-пермяков. Коми-пермяцкая изба с большим крытым крыльцом. ДИ/Н-419 ПОКМ-10820/7 стекло,фотосъемка     Вид на коми-пермяцкую избу с большим крытым крыльцом. Рядом располагаются хозяйственные постройки, слева стоят две коровы.",234
2826,"Фотонегатив пленочный. Этнография коми-пермяков. Курная изба.  ПОКМ-10820/40 фотопленка     Изображение фотографии: деревянная покосившаяся изба с двускатной крышей, резным «домиком» на дымоходной трубе; слева от избы деревянная постройка с ограждением; перед избой пять человек (в центре) в крестьянской одежде, бревна, плетневая изгородь (справа), перекресток двух проселочных дорог.",161
2652,"Фотонегатив стеклянный. Этнография коми-пермяков. Орудия охоты - плаха и капкан.  ПОКМ-10820/81 стекло     Вид на орудия охоты, расположенные в лесу: слева капкан, в центре деревянная плаха, справа от них мужчина в охотничьей одежде, со снаряжением, стоящий на коленах на земле.",208
1716,"Фотография. Пересечение улиц Ленина и К.Маркса.  ПОКМ-19814/1413 фотопечать,фотобумага     Изображен перекресток двух улиц. На переднем плане слева угловой высокий трехэтажный каменный дом с рядами окон и названиями магазинов на первом этаже. Справа к нему примыкают стоящие вдоль улицы невысокие двух- и одноэтажные дома. На заднем плане виднеется строящееся многоэтажное здание. По тротуарам и через перекресток в разных направлениях ходят люди.",1455
2369,"Изразец рельефно-расписной  ПОКМ-19350/6 формовка,глина (красная,эмаль (белая, синяя, желтая,роспись     Фрагмент стенного рельефно-расписного изразца из красной глины. Покрыт белой и желтой эмалями, сохранились фрагменты росписи синей эмали. (Р-2, уч. М/42, гл. 0,32 м)",1836
1514,"Гербарий. Дербенник иволистный. Lythrum salicaria L.  ПОКМ-7190/85 расправлено,высушено,смонтировано на лист а3 формата,гербарий    Теплоухов Федор Александрович Цветущее растение",2863
1133,"Фотография. Зал клуба Дзержинского.  ПОКМ-11866/1 фотобумага,фотопечать     ",676
539,"
                Амбары в деревне Зыряново Чердынского уезда  ПОКМ-10820/222 стекло     Изображение фотографии: два бревенчатых амбара на столбах, у амбаров двускатные крыши с деревянным изображением животного на коньках, квадратные закрытые двери; за амбарами кроны елей, справа частично видно другие деревянные постройки.",125
1636,"Фотография эскиза. ""Панно с изображением Петуха в кафе ""Аэлит""  ПКМ-21433/18 фотопечать,фотобумага    Футлик Михаил (Мендель) Иудович (Архитектор) Вид на прямоугольное панно выполненное из глины (шамота) с изображением стилизованного петуха.",400
216,"ПЗС. Фигурка ящера  ПКМ-21124/2 литье,бронза     Фигурка фантастического зверя ""ящера"" - односторонняя плоская. У ящера крупная голова, выделены пасть и ноздри, большой глаз, лапы и хвост короткие.",2138
358,"Фотонегатив пленочный. Завод имени Свердлова, сборка подвесных лодочных моторов «Вихрь».  ПОКМ-15011/11 фотосъемка,пленка    Котляков Эдуард Николаевич (Фотограф) Изображение производственного помещения. С одной стороны у аппаратов, составленных вряд, стоит человек в белом халате. С другой стороны - несколько человек в белых халатах работают за аппаратами.",1019
2326,"Фотография. День молодого рабочего. НПО им. Кирова.  ПОКМ-18530/2228 фотопечать,фотобумага     ",1298
1798,"Фотонегатив пленочный. Торфопредприятие «Закамское», формирование торфа.  ПОКМ-15000/47 фотосъемка,пленка    Загуляев Евгений Николаевич (Фотограф) Изображение сельскохозяйственной техники, стоящей около насыпи, рядом стоит человек. Снимок сделан с насыпи.",1140
608,"Фотография. Людмила Афанасьевна Кузнецова.  ПКМ-21490/38 фотопечать (сепия,фотобумага     Снимок сделан в фотоателье. Погрудное изображение пожилой женщины, с короткими вьющимися седыми волосами в блузке с цветочно-геометрическим орнаментом.",1503
488,"Гербарий. Шиповник майский, или коричный. Rosa majalis Herrm.  ПОКМ-7925/10 расправлено,гербарий,высушено,смонтировано на лист а3 формата    Теплоухов Федор Александрович Ветви с плодами.",2936
186,"Фотография. Сагитова Т., секретарь к/о цеха № 19. НПО им. Кирова.  ПОКМ-18530/2221 фотопечать,фотобумага     ",1323
466,"Фотография. Церковь.  ПОКМ-19814/493 фотобумага,фотопечать     Изображено бревенчатое здание церкви. У стены лежат неколотые дрова, слева - забор. Справа, у стены, стоит человек. На заднем плане виднеется река.",1555
1320,"Фотонегатив пленочный. Денисов В.И., художник. Город Петроград. 1914-1917 гг. (негатив сделан с фотографии, хранящейся в ГАПО, р. 1588, оп. 1, д. 822).  ПОКМ-18082/53 фотосъемка,фотопленка    Загуляев Евгений Николаевич (Фотограф) ",617
