chb;sys_numb
200001059960;RSL01002582360
200001059960;RSL01002399071
200000872127;RSL07000449110
200000872127;RSL07000498100
200001025399;RSL01000212827
200001025399;RSL01004847299
200001025399;RSL01003164329
300000871024;RSL01004341155
300000871024;RSL01007968924
300000871024;RSL01006704664
300000871024;RSL01007931162
300000871024;RSL01007500224
300000871024;RSL01008863148
100000774182;RSL01003690490
100001117362;RSL01010735055
100001117362;RSL01010243697
100001117362;RSL01009475383
100001117362;RSL01007557148
100001117362;RSL01010172166
100001117362;RSL01009442978
100001117362;RSL01009486170
100001117362;RSL01009493709
100001117362;RSL01009477026
100001117362;RSL01008674989
100001117362;RSL01006734319
100001117362;RSL01010172942
200001054125;RSL01009548866
200001054125;RSL01004272702
200001054125;RSL01000964488
200001054125;RSL01002920828
200001054125;RSL01006805529
200001054125;RSL01009397223
200001054125;RSL01010230068
200001054125;RSL01008633997
200001054125;RSL01010558961
200001054125;RSL01006632576
200001054125;RSL01005437872
200001054125;RSL01004627658
200001054125;RSL01009393347
200001054125;RSL01000673275
200001054125;RSL01002568902
300001010902;RSL01001620821
300001010902;RSL01008699320
300000752141;RSL01006584185
300000752141;RSL01010218211
200001132704;RSL01009391412
200001132704;RSL01006064758
200001132704;RSL01008334994
100001102056;RSL60000310507
200001015910;RSL07000454862
200001015910;RSL07000384052
100001090375;RSL01009598515
100001090375;RSL01003377648
100001090375;RSL01009504035
100001090375;RSL01004087276
100001090375;RSL01010514441
100001090375;RSL01002960083
100001090375;RSL01009584744
100001090375;RSL01004952042
100001090375;RSL01010684179
100001090375;RSL01007529113
100001090375;RSL01004670906
100001090375;RSL01006722134
100001090375;RSL01009469235
100001090375;RSL01007511728
100001090375;RSL01006548606
200000802653;RSL01010109397
200000802653;RSL01010533349
200000802653;RSL01004413789
200000802653;RSL01005088115
200000802653;RSL01009408601
300000953417;RSL01002733509
300000953417;RSL01004266741
300000953417;RSL01008239496
300000953417;RSL01008590335
300000953417;RSL01006709852
300000953417;RSL01006648798
200001111254;RSL01002609878
200001111254;RSL01000030001
200000936532;RSL01010648287
200000936532;RSL01006723338
200001069508;RSL01002715521
200001069508;RSL01004077083
200001069508;RSL01002862291
200001071435;RSL01009201627
300001067863;RSL01002119345
300001067863;RSL01001293974
300001067863;RSL01002137415
200000922437;RSL01006173362
200000922437;RSL01005989536
200000922437;RSL01005989527
200000922437;RSL01001044709
200000922437;RSL01001213329
200000922437;RSL01001337572
300001036837;RSL01003470163
300001036837;RSL01006648683
300000862228;RSL01001625006
300000862228;RSL01008041505
300000862228;RSL01006414109
200000900952;RSL01004125559
200000900952;RSL01002619496
200000900952;RSL01000321931
200000900952;RSL01006892992
200000900952;RSL01000738293
200000900952;RSL01006892999
200000900952;RSL01008872784
200000900952;RSL01006893001
200000900952;RSL01004486361
200000900952;RSL01006892995
200000900952;RSL01005432672
200000990914;RSL01009287734
200000990914;RSL01008426453
200000990914;RSL01009325527
200000990914;RSL01005365298
200000990914;RSL01005217305
200000990914;RSL01009355219
300001079740;RSL01010176254
300001079740;RSL01004156880
300001079740;RSL01002630149
300001079740;RSL01000217551
300001101225;RSL01004629338
300001101225;RSL01010192567
300001101225;RSL01006606666
300000855973;RSL01001831840
300000855973;RSL01006824857
300000855973;RSL01006814513
300000855973;RSL01008659812
300000855973;RSL01001115544
300000855973;RSL01005678215
200001084221;RSL01010819800
200001084221;RSL01010562443
200001084221;RSL01008998469
300001152162;RSL01004848031
300001152162;RSL01010552925
300001152162;RSL01006505315
300001152162;RSL01010225511
200001068202;RSL01003020905
200001068202;RSL01000601493
200001068202;RSL01010130887
200001068202;RSL01003122604
100000876243;RSL01004834642
100000876243;RSL01004834635
200001059822;RSL01008725782
200001059822;RSL01006532054
200001059822;RSL01004879245
200001073581;RSL01004961374
200001073581;RSL01008083172
200001073581;RSL01006938197
200001073581;RSL01009781107
300001082104;RSL01006519379
300001082104;RSL01005057055
300001082104;RSL01006646468
300001082104;RSL01003454900
300001082104;RSL01010186638
300001082104;RSL01010211389
300001082104;RSL01000571899
300001082104;RSL01006524079
200001139250;RSL01001855870
200001139250;RSL01004386499
300001118568;RSL01010355888
300001118568;RSL01008627693
300001118568;RSL01009549492
300001118568;RSL01008889843
300001105133;RSL01002969473
300001105133;RSL01010331111
200001058592;RSL01003904222
200001058592;RSL01003555171
200001058592;RSL01003897465
200001058592;RSL01008758784
200001058592;RSL01001376127
200001058592;RSL01004458541
200001058592;RSL01004458542
200001058592;RSL01003552346
200001058592;RSL01001274949
200001058592;RSL01001495350
200001058592;RSL01003787745
200001058592;RSL01004483157
200001058592;RSL01001556946
200001102448;RSL01010027740
200001102448;RSL01003330508
200001102448;RSL01000193809
200001102448;RSL01010837296
200001102448;RSL01003042393
300001093084;RSL01008388916
300001093084;RSL01006375735
300001093084;RSL01006455655
300001051813;RSL01008952732
300000820142;RSL01001063096
300000820142;RSL01009209247
200000922279;RSL01010596241
200000922279;RSL01010098273
200000922279;RSL01009973509
200000922279;RSL01010438166
200000922279;RSL01008727095
200000922279;RSL01009778712
200000922279;RSL01009875883
200000922279;RSL01002763160
200000922279;RSL01010720580
200000922279;RSL01009115418
200000922279;RSL01008845509
200000922279;RSL01009931625
200000922279;RSL01006570402
200000922279;RSL01008116412
200000922279;RSL01006771054
200000922279;RSL01010562038
200000922279;RSL01010662358
200000922279;RSL01010305352
100000844485;RSL01009498040
100000844485;RSL01010170830
200000830641;RSL01009583518
200000830641;RSL01000566424
200000830641;RSL01008866140
200000812433;RSL07000389194
200000812433;RSL07000423472
200000812433;RSL07000386525
200000812433;RSL01010622973
200000812433;RSL07000455697
200000812433;RSL01004562070
200000812433;RSL01008683545
200000812433;RSL01008510470
200000812433;RSL01004975808
200001066315;RSL01008884134
200001066315;RSL01009931838
200001060400;RSL01008707715
200001060400;RSL01006527051
200000802052;RSL01005455612
200000802052;RSL01005433668
200000802052;RSL01008461436
200000802052;RSL01006635067
300001069694;RSL01010598028
300001069694;RSL01004884734
300001069694;RSL01009953099
300001069694;RSL01004177690
300001069694;RSL01004436855
300001007597;RSL01006942191
300001007597;RSL01006604244
300001007597;RSL01002351184
200001075201;RSL01010451559
200001075201;RSL01009955896
200001075201;RSL01009955889
200001064231;RSL01009922775
200001064231;RSL01004132071
200000782617;RSL01002682108
200000782617;RSL01010509042
100000962772;RSL01001548337
200001138150;RSL01002838829
200001138150;RSL01003184075
200001138150;RSL01010643514
200001138150;RSL01010377328
200001138150;RSL01004563658
200001138150;RSL01010475511
300000943499;RSL01001795298
300000943499;RSL01001693053
300000943499;RSL01010575086
300000943499;RSL01003651446
300000943499;RSL01003795180
300000943499;RSL01001580396
300000943499;RSL01003367797
300000688159;RSL01004897256
300000688159;RSL01010170395
300000688159;RSL01004116634
300000688159;RSL01004736903
300000688159;RSL01003332315
300001091405;RSL01005566462
300001091405;RSL01002622523
300001091405;RSL01005010618
300001091405;RSL01002747036
300001091405;RSL01002768500
300001091405;RSL01003167899
300001048514;RSL01002912992
300001048514;RSL01001342979
100001073270;RSL01003901987
100001073270;RSL01003389022
100001073270;RSL01004012371
200000964787;RSL01006545429
200000964787;RSL01006666584
200000964787;RSL01006843683
200000964787;RSL01008695234
200000964787;RSL01002921907
200000964787;RSL01006883301
200000964787;RSL01006839615
300001060048;RSL01007564856
300001060048;RSL01000744684
200001082176;RSL01004377897
200001082176;RSL01005498193
200001082176;RSL01006734667
300000951822;RSL01004408261
300000951822;RSL01004958334
300001029897;RSL01006222527
300001029897;RSL01005915054
300001029897;RSL01004177513
300001029897;RSL01005169640
300001029897;RSL01005327585
300001029897;RSL01002350946
300001077211;RSL01001617228
300001077211;RSL01001583064
200001024875;RSL01005490143
200001024875;RSL01003020577
200001024875;RSL01009613990
200001024875;RSL01005490144
200001024875;RSL01005644778
200001024875;RSL01007975300
200001024875;RSL01005617504
200001024875;RSL01005137454
200001024875;RSL01005631057
200001024875;RSL01005615119
200001024875;RSL01009613870
200001024875;RSL01005632048
200001024875;RSL01007975306
300001128114;RSL01006698048
300001128114;RSL01007530217
300001128114;RSL01009853849
300001128114;RSL01004967726
300001128114;RSL01004081540
300000886969;RSL01002369252
300000886969;RSL01002369272
300000886969;RSL01002369206
100000970565;RSL01005055250
100000970565;RSL01004324353
100000970565;RSL01010176479
100000970565;RSL01008564174
100000970565;RSL01009479520
100000970565;RSL01008671959
100000970565;RSL01005046541
100000970565;RSL01008130804
100000970565;RSL01002621433
100000970565;RSL01008570104
100000970565;RSL01004852518
100000970565;RSL01008924380
100000970565;RSL01008660551
100000970565;RSL01001657558
100000970565;RSL01005397673
100000970565;RSL01000323393
100000970565;RSL01006351699
100000970565;RSL01009393690
100000970565;RSL01004151357
100000970565;RSL01008467503
300000920390;RSL01008143076
300000920390;RSL01010949779
300000920390;RSL01007490918
300000920390;RSL01004622514
300000939151;RSL01002883343
300000939151;RSL01010720608
300001006149;RSL01000900617
200001103750;RSL01005471528
200001103750;RSL01006542525
200001103750;RSL01004253265
200001103750;RSL01009826539
200001103750;RSL01008662022
200001103750;RSL01006612770
300001106963;RSL01001752436
300001106963;RSL01001797207
300001106963;RSL01001497007
300000859824;RSL01002388382
300000859824;RSL01002962531
300000859824;RSL01005473787
300000859824;RSL01009869259
300000859824;RSL01009606673
300000859824;RSL01008873040
300000859824;RSL01006511389
300000859824;RSL01010418023
300000859824;RSL01000582792
300000859824;RSL01010732738
300000859824;RSL01000682912
300001039349;RSL02000013420
300001039349;RSL07000460453
300001039349;RSL07000498043
300001039349;RSL07000429700
200000770223;RSL01008592197
200000770223;RSL01003298618
300001112402;RSL07000354872
300001112402;RSL07000385727
300001112402;RSL02000023819
300001112402;RSL07000395862
300001112402;RSL07000467736
300001112402;RSL07000353071
300000842730;RSL01005477354
300000842730;RSL07000473336
300000842730;RSL07000399315
200000977584;RSL01002127053
200000977584;RSL01001746760
200000977584;RSL01009983182
200000977584;RSL01001702000
200000977584;RSL01008011323
200000977584;RSL01002122272
200000977584;RSL01002125153
200000977584;RSL01001674060
200000977584;RSL01002122023
200000977584;RSL01001613522
200000977584;RSL01001527103
200000977584;RSL01001594333
200000977584;RSL01008529236
200000977584;RSL01001684542
200000977584;RSL01001720914
200000977584;RSL01001792911
200000977584;RSL01001554038
200000977584;RSL01001690624
300001067245;RSL01001576007
300001067245;RSL01001651813
300001067245;RSL01001713748
300001067245;RSL01001203812
300001067245;RSL01001457785
300001067245;RSL01001338667
300001002813;RSL01002444517
300001002813;RSL01009926428
100000851204;RSL01003188581
100000851204;RSL01003015814
100000851204;RSL01002858300
100000851204;RSL01007498693
300001012691;RSL01008763034
200000888740;RSL01003716436
300001114860;RSL01010154115
300001114860;RSL01008259692
300001114860;RSL01010841475
300001114860;RSL01008114091
300001114860;RSL01007997385
300001114860;RSL01007842005
300001114860;RSL01000707907
300001114860;RSL01000607805
100001115119;RSL01011022844
200001083714;RSL01008669183
200001083714;RSL01010163024
200001083714;RSL01007564224
200001083714;RSL01010897669
200001119190;RSL01006744757
200001119190;RSL01008009866
200001119190;RSL01001709575
200001119190;RSL01005128176
200001119190;RSL01006509826
200001119190;RSL01007951868
200001119190;RSL01006565268
200001119190;RSL01004862512
200000936480;RSL01003548858
300001086294;RSL07000356176
300001086294;RSL07000423475
300001086294;RSL07000367349
300001086294;RSL07000473177
300001086294;RSL07000430992
300001086294;RSL07000428057
300001086294;RSL07000358162
300001086294;RSL07000423691
300001086294;RSL07000394132
300001086294;RSL07000445300
300001086294;RSL07000459742
300001086294;RSL07000386666
300001086294;RSL07000390552
300001086294;RSL07000373404
300001056911;RSL01001612878
300001056911;RSL01002126826
300001056911;RSL01001758791
300001056911;RSL01006844784
300001056911;RSL01008754659
300001056911;RSL01008539757
200001112397;RSL01003193801
200001112397;RSL01002572058
200001112397;RSL01002571974
200001112397;RSL01002571986
200001112397;RSL01003326694
200001112397;RSL01002572003
200000858341;RSL07000380099
200000858341;RSL07000427005
300000994378;RSL07000381484
300000994378;RSL07000386063
300000994378;RSL07000465062
100000934366;RSL01001757690
100000934366;RSL01001777108
300000845601;RSL01001554812
300000845601;RSL01001315906
300000845601;RSL01001354317
100000761860;RSL01006807570
100000761860;RSL01006536754
100000761860;RSL01010761030
100000761860;RSL01002497124
100000761860;RSL01002964299
100000761860;RSL01004930352
100000761860;RSL01003129789
100000761860;RSL01005489880
100000761860;RSL01000985151
100000761860;RSL01007473103
100000761860;RSL01003325522
300000862361;RSL01010424265
300000862361;RSL01010443803
300000862361;RSL01010683409
300000862361;RSL01007518434
300000862361;RSL01002895483
300000862361;RSL01008138437
300000862361;RSL01009690116
300000862361;RSL01003403886
300001061915;RSL01002791884
300001061915;RSL01002880096
300001061915;RSL01010363099
300001143025;RSL01003685935
300001143025;RSL01003646198
300001143025;RSL01008811042
300001143025;RSL01003708945
300000816964;RSL01010712220
300000816964;RSL01008830721
300000816964;RSL01007835347
300000816964;RSL01010311583
300001073177;RSL01003008093
300001111525;RSL01004341037
300001111525;RSL01004237487
300001111525;RSL01009713607
300001111525;RSL01005482052
300001048411;RSL01006507476
300001048411;RSL01009434069
300001048411;RSL01006672756
300001048411;RSL01005504523
300001048411;RSL01004844545
300001048411;RSL01005573340
300001048411;RSL01009695466
300001048411;RSL01007590125
200001059993;RSL01010302237
200001059993;RSL01000588615
200001059993;RSL01003274923
200000975704;RSL01009841963
200000975704;RSL01010361693
200000975704;RSL01003444625
200000975704;RSL01002966094
200000975704;RSL01002684825
200000975704;RSL01004135075
300001111313;RSL07000456714
300001111313;RSL07000443445
300001111313;RSL07000456106
300001111313;RSL07000396529
300000693537;RSL01003882161
300000693537;RSL01003882163
300000693537;RSL01002863752
300000693537;RSL01003882164
300001065618;RSL01002819116
300001065618;RSL01005577870
300001065618;RSL01008873261
300001065618;RSL01002765164
300001077947;RSL01004317388
300001077947;RSL01009544373
300001077947;RSL01000746018
200001101021;RSL07000355205
200001101021;RSL07000430687
200001101021;RSL07000451305
200001046963;RSL01008906198
200001046963;RSL01008569876
200001046963;RSL01011018552
200001046963;RSL01010545336
200001046963;RSL01008695445
200001046963;RSL01009057336
200001046963;RSL01008905928
200001046963;RSL01008930053
200001046963;RSL01005147500
200001046963;RSL01008574156
200001046963;RSL01009055795
200001046963;RSL01007883858
200001046963;RSL01002886281
200001046963;RSL01005141461
200001046963;RSL01005450980
200001046963;RSL01009059907
200001046963;RSL01009068241
200001046963;RSL01008694958
200001046963;RSL01009074371
100000759349;RSL01010245104
100000759349;RSL01008755092
300001067933;RSL01000567827
300001067933;RSL01006805730
300001067933;RSL01002292640
300001067933;RSL01002492182
200001135915;RSL07000432359
200001135915;RSL07000467928
200001135915;RSL02000020043
200001135915;RSL07000475542
200001135915;RSL07000442617
200001135915;RSL07000368862
200001135915;RSL07000384781
200001135915;RSL07000387381
200001106362;RSL07000450982
200001122405;RSL01001651417
200001122405;RSL01001650412
200001122405;RSL01001769451
200001122405;RSL01001663453
200001080184;RSL01010246778
200001080184;RSL01003320592
200001080184;RSL01009618994
200001080184;RSL01008705322
200001080184;RSL01000229325
200001080184;RSL01008540206
300001061158;RSL01007550199
200000968763;RSL01004297427
200000968763;RSL01002300165
200000968763;RSL01004057263
200000968763;RSL01010436613
200000968763;RSL01003434787
200000968763;RSL01010943390
200000968763;RSL01010170243
200000858783;RSL01010243100
200000858783;RSL01008278772
200000858783;RSL01006711496
200000858783;RSL01006594761
100001079219;RSL01007528189
100001079219;RSL01004397682
100001079219;RSL01005495143
100001079219;RSL01008277864
100001079219;RSL01004301054
100001079219;RSL01004854224
100001079219;RSL01005411652
100001079219;RSL01004030424
300001108429;RSL01001855059
200001062358;RSL02000014924
200001062358;RSL07000371972
200001062358;RSL07000371976
300001013584;RSL03001184261
300001013584;RSL07000486570
300001013584;RSL07000457690
300001013584;RSL07000459192
300001013584;RSL07000488134
300001013584;RSL07000364498
300001013584;RSL07000377467
300001013584;RSL07000353761
200001052203;RSL01010168029
200001052203;RSL01008550500
200001052203;RSL01008561952
200001052203;RSL01008583232
300001068258;RSL01004967726
300001068258;RSL01009727626
300001068258;RSL01005425737
300001068258;RSL01005114821
300001068258;RSL01001651432
300001068258;RSL01001141209
300001121753;RSL01002610467
300001121753;RSL01005551524
300001037921;RSL01002392369
300001037921;RSL01005630173
300001037921;RSL01005630174
300001037921;RSL01000233379
300001037921;RSL01005628029
200001000878;RSL01005684586
200001000878;RSL01010037491
200001000878;RSL01010438166
200001000878;RSL01009875883
200001058160;RSL01002479919
200001112423;RSL01001485405
200001167287;RSL01003838486
200001167287;RSL01003906474
200001167287;RSL01003906473
200001167287;RSL01005420731
300000890121;RSL01004823008
300000890121;RSL01002436663
200001089845;RSL01003567994
200001089845;RSL01003339396
200001089845;RSL01003730642
200001089845;RSL01003573440
200000821704;RSL01003874704
200000821704;RSL01003830013
200000821704;RSL01003837920
200000821704;RSL01003852245
200000821704;RSL01003837919
200000821704;RSL01008069959
200000821704;RSL01003835210
200000821704;RSL01003854146
300001151440;RSL07000423472
300001151440;RSL07000455697
300001151440;RSL01010622973
200001045763;RSL01001566853
200001063245;RSL01003478088
200001063245;RSL01005055211
200001063245;RSL01004848971
200001013981;RSL01010334976
200001013981;RSL01010471922
200001013981;RSL01003121776
200001013981;RSL01009635453
200001013981;RSL01010256288
200000935713;RSL01008473029
300000977551;RSL01003120997
300000977551;RSL01007277978
300000977551;RSL01008571666
300000977551;RSL01007277979
300000977551;RSL01005210662
300000977551;RSL01007568293
300000989475;RSL01004091132
300000989475;RSL01004095852
300000989475;RSL01004095854
300000989475;RSL01004095944
300000989475;RSL01003338711
300000989475;RSL01004095956
300000989475;RSL01004104387
300000989475;RSL01007892347
300001060389;RSL01000703640
300001060389;RSL01000645343
300001060389;RSL01004133970
300001060389;RSL01002374360
300001060389;RSL01002584470
300001060389;RSL01000956698
300001076248;RSL01003854618
300001076248;RSL01003824082
300001076248;RSL01010524729
300001076248;RSL01003820254
300001076248;RSL01004938931
300001076248;RSL01009875866
300000868525;RSL01005377454
300001129118;RSL01004864200
300001129118;RSL01008754810
300001129118;RSL01008893123
300001129118;RSL01008654402
300001129118;RSL01009472840
300001129118;RSL01008502646
300001129118;RSL01008068154
300001129118;RSL01005546325
300001129118;RSL01009962062
300001020324;RSL01007498542
300001020324;RSL01007559196
300001020324;RSL01007555105
300001038282;RSL01009123543
300001038282;RSL01001549833
200001078472;RSL01000270236
200001078472;RSL01003044444
300001116900;RSL01007566862
300001116900;RSL01005490144
300001116900;RSL01003326694
300001116900;RSL01002571986
300001116900;RSL01005490143
300001116900;RSL01002572058
300001116900;RSL01003326834
300001116900;RSL01002571985
300001116900;RSL01006596376
300001116900;RSL01002571974
200001034847;RSL01003639090
300000728085;RSL01002738613
200001152111;RSL01002712032
200001152111;RSL01010782237
200001152111;RSL01002933076
300001142390;RSL01006979141
300001142390;RSL01004877606
300001092325;RSL01008863674
300001092325;RSL01009318531
300001092325;RSL01009228982
300001092325;RSL01001854752
300001092325;RSL01004586100
300001092325;RSL01008644731
300001092325;RSL01001634087
300001092325;RSL01003742912
300001092325;RSL01009308352
300001092325;RSL01001580168
300001092325;RSL01008477285
300001092325;RSL01001474257
300001092325;RSL01005347326
300001092325;RSL01009132186
300001092325;RSL01005198496
300001092325;RSL01004208483
300001092325;RSL01006375959
300001092325;RSL01001314612
300001092325;RSL01006479711
300001092325;RSL01001522111
100000989781;RSL01001497040
100000989781;RSL01001468130
300000998908;RSL01004897245
300000998908;RSL01007840170
300000998908;RSL01003998048
300000998908;RSL01002401233
300000998908;RSL01009062741
200001059492;RSL01004078263
200001059492;RSL01009921643
200001059492;RSL01006759022
100000977956;RSL60000302975
100000977956;RSL02000000728
300001035890;RSL01002936405
300001035890;RSL01004846377
300001035890;RSL01005534804
100000937769;RSL01003831175
100000937769;RSL01003831189
100000937769;RSL01005427247
100000937769;RSL01005427244
100000937769;RSL01005421001
100000937769;RSL01005420993
100000937769;RSL01002872616
100000937769;RSL01004198264
100000937769;RSL01003981466
100000937769;RSL01003831183
100000937769;RSL01003841388
100000937769;RSL01003854114
100000937769;RSL01003966998
200001050894;RSL01003368756
200001050894;RSL01003409474
200001050894;RSL01008636740
200001050894;RSL01007492888
200001050894;RSL01007572017
300001030736;RSL01003841321
300001030736;RSL01004099728
300001030736;RSL01003841253
300001030736;RSL01003841123
300001030736;RSL01003841122
300001030736;RSL01003841120
300001030736;RSL01003841107
300001030736;RSL01003841103
300001030736;RSL01003841108
300001030736;RSL01003841114
300001030736;RSL01003841288
300001030736;RSL01003841291
300001030736;RSL01003841388
300001030736;RSL01003841284
300001030736;RSL01003841397
300001030736;RSL01009109968
300001030736;RSL01003974953
300001030736;RSL01004492473
300001030736;RSL01004436362
300001030736;RSL01004439340
300001108670;RSL01005577790
300001108670;RSL01008239311
300001108670;RSL01007915831
300001108670;RSL01001372955
300001096044;RSL01001650336
300001096044;RSL01000678429
300001096044;RSL01008759843
300001096044;RSL01002427797
300001096044;RSL01000735518
300001096044;RSL01001361281
300001096044;RSL01001758332
300001096044;RSL01009547598
300001096044;RSL01007600025
